,rendement,volatilite,volume,skewness,kurtosis,ratio_sharpe,VaR
AB,-0.08676282005841814,0.15115880864379283,7215.23,-0.5567307459825597,9.134694018322053,-0.817390976117271,0.01894794520547938
ADWYA,-0.09964210491517206,0.2843324827770608,5515.84,0.6326207655520378,4.886790760925666,-0.5641805685052883,0.027027027027027084
AETEC,-0.19348919238116966,0.23246767287033404,343.68,-0.312976196432262,4.422000209687996,-0.9807988901938286,0.028305685181561964
AL,0.2384792564750789,0.25445924123303415,425.05000000000007,-0.663276749179718,7.177425609607997,0.7804872311820755,0.028980514262756045
ALKM,-0.23980892684098998,0.18630606286932233,3768.53,0.26985923278919394,9.823763692948855,-1.3784772879513125,0.018719779428406812
AMS,-0.23869377461035535,0.19770953332856311,1105.43,-0.33972391746117286,5.379359541564515,-1.3035032896834853,0.023331460266821306
ARTES,-0.28630718403702765,0.32106874323893925,361.72999999999996,-2.126902177051391,18.51615847225401,-0.9904751590815828,0.028799171842650056
ASSAD,0.21980779954649268,0.27588386407218457,4767.65,0.44683487612684564,5.80577380402912,0.6147272758057815,0.027364190687361352
AST,-0.004219525282655219,0.23352210326852263,124.28999999999999,-0.21734633979462856,16.701827410016715,-0.2613636561349878,0.024405594405594318
ATB,0.013653007568541443,0.28510625252275834,4328.51,0.19047980223243885,4.004488897560886,-0.19802748853301655,0.029017857142857317
ATL,-0.5252298695219267,0.3515295340626963,394.27,-13.149437798840703,192.77687652002484,-1.3746194073959799,-0.0
BH,0.008783835578146793,0.348499322311701,8030.29,0.3096515139218397,4.421296583538918,-0.23031640211680193,0.029379404573565332
BHASS,-0.2166091145200386,0.2675142539232343,37.78,-8.231459022373059,128.10035335127532,-0.9580720459185093,0.020385432316220226
BHL,0.13676812303997224,0.2724361842662995,335.51,0.12112223508023041,7.608120272615617,0.27497031366760805,0.029963768115942035
BIAT,0.30962877940438815,0.17695722783739157,340.90999999999997,-0.10325161993350601,19.122610262215638,1.7606241660760207,0.001896551724137864
BL,-0.21635022716012667,0.30956877162261953,5334.25,0.544196395681715,3.91482821719478,-0.8464618580963958,0.02872325798823079
BNA,-0.5051571709106997,0.3882486425962175,802.77,0.4713938156914197,7.531398885456602,-1.211876347842739,0.03688413183826031
BS,-0.27160038560718147,0.26965850664333046,1638.65,0.2727296358202476,3.6143017918568576,-1.0942799641059506,0.02924362839134017
BT,0.10793720041929929,0.5747809063988601,18838.969999999998,0.62933527150536,6.99232661178681,-0.14521132769037032,0.04873592731582066
BTEI,0.03187024279480989,0.21966341810708345,456.83000000000004,-0.7026469022217208,11.171447868499808,-0.10171451540144373,0.025471718272538905
CC,-0.03399408403819723,0.3464496673065874,5290.94,0.6781418202444202,4.026536052958437,-0.3438138821728689,0.029126213592232997
CELL,-0.13687012497494958,0.3080854921245785,843.9599999999999,-0.8887895859226894,7.847922041025212,-0.6453514667536082,0.03006626506024094
CIL,-0.052674885839014585,0.2620376602792051,601.69,-0.039119346992859745,7.111777094784181,-0.4324219902583701,0.028571428571428692
CITY,-0.20918870985394214,0.22627558706088874,1554.77,-0.46595732627871866,7.412480217122609,-1.0580799341562048,0.022886167138905268
CREAL,-0.16091009807449846,0.2401905975020747,724.3600000000001,-1.0883736724219946,11.045635005730844,-0.845759066329202,0.029325513196480912
